protected,subzone,mean_elev_cv,mean_loreys_height,mean_percentage_first_returns_above_2m,mean_total_biomass,sd_elev_cv,sd_loreys_height,sd_percentage_first_returns_above_2m,sd_total_biomass,count
unprotected,CWH_wm,0.31761237961908373,17.511025448351145,87.2563188836916,158.1140181168629,0.1155529667872906,6.382751671836087,16.367560989765643,108.76753912504454,379317
protected,CWH_ws,0.31507724197530057,17.20758854626756,88.26547862544739,152.6299933544356,0.0967413378736201,6.659339080616407,15.680847135175494,113.4649833132392,838223
unprotected,CWH_ws,0.2962938145379603,18.448143027435354,90.2596359947308,175.80337106164941,0.11181877446532991,7.4526227476821285,13.589231937042289,134.5370337723352,838175
protected,CWH_xm,0.30459101667106653,28.177163178701424,88.77097655692711,326.1426515677491,0.11565697990111043,6.419168681801227,14.806995508273852,148.04631865008486,289425
unprotected,CWH_xm,0.2933329336890038,26.909433595679364,88.96506039582476,309.75645727376883,0.12932277901302072,7.108025379905851,17.414419164030114,158.25508292759918,289424
protected,ESSF_dc,0.3506628288158136,21.482746736499827,72.7304294157438,175.99480584690556,0.1179991809176733,6.059668403336775,24.918658208764892,109.75100139579406,374602
unprotected,ESSF_dc,0.3537522397148835,21.015073125816933,72.00937177513535,167.02620082368682,0.11981664081731232,5.868236050176531,23.91753168315515,102.17831431341011,371141
protected,ESSF_dcp,0.35201418029228393,18.668460425408224,46.79508030675816,101.06626392707106,0.08829750772954524,4.8211690121928115,30.784507862891157,87.34408341663523,6911
unprotected,ESSF_dcp,0.3566118278011269,18.767104797796314,54.22698651978703,113.36319466589151,0.09370770368955801,5.10619053529382,30.450194996163813,86.07088471801778,6899
protected,ESSF_dcw,0.3452574524366045,19.17989770702222,62.037463691666694,128.9866302523346,0.0995844744473469,4.989866418563111,28.735777176877015,89.56669538765425,157264
unprotected,ESSF_dcw,0.34502102444043153,20.253043728269382,63.795641038723446,146.87514847524295,0.10380962901646447,5.638054580815859,28.583074676715864,103.89421590391741,157198
protected,ESSF_dk,0.3687506540435579,21.13496346318215,71.57693674594265,163.63906526229283,0.11893907858207857,5.771737782462151,26.386555174750697,95.57397663235982,916225
unprotected,ESSF_dk,0.36786837887641366,21.859925151231238,74.34869251000184,182.9976861261491,0.1207316909067165,6.630663261678443,23.97867869542439,114.29963682510405,911571
protected,ESSF_dkp,0.3513065448918942,19.654459133861508,57.68140526655526,129.21893842666606,0.09262751303756678,5.4115860384084735,30.63783033056076,96.57143242732154,66571
unprotected,ESSF_dkp,0.3500825271885997,19.96047106892148,59.464962747100984,137.56248633060744,0.09580994727814399,5.7151540263912874,31.1082387229527,105.40110822206563,66572
protected,ESSF_dkw,0.3588861538383558,20.71650592656688,65.74363499520203,151.0856693782631,0.1130529102990442,5.644515954818732,29.769535004963014,99.10307422271042,370702
unprotected,ESSF_dkw,0.3556787640105793,20.80292794191941,65.83162990436648,155.6302584461355,0.1109767958656737,5.895724188338015,29.643142104123672,107.1539700030364,370715
protected,ESSF_dv,0.3507618313273962,21.736454960688786,68.3385470161429,168.8788128970436,0.11171310204013814,5.7502510332493175,26.50158402232721,101.13950469361812,239280
unprotected,ESSF_dv,0.35179443498258084,22.10183633409128,69.39629049183243,176.90536823247356,0.11833235040021181,6.0143643521653996,26.93430312255811,104.77878193079857,238382
protected,ESSF_dvp,0.3641318432781318,20.11593800306013,53.63833366593513,130.0487580655857,0.1034418849829605,6.181876600216739,31.286622526554424,106.08923704033552,15033
unprotected,ESSF_dvp,0.3673078557673285,20.27612437744848,54.52395378179148,133.64189122783526,0.10278954897611511,6.36652927627268,31.12134662561572,108.55745980690399,15059
protected,ESSF_dvw,0.35342967139800896,21.17297004342356,64.27566180568974,158.6611700045298,0.10621492538186189,6.231468567637909,28.702734777433374,108.27711424451641,77145
unprotected,ESSF_dvw,0.35990814152855677,21.55523239985236,64.67305164440988,164.6505559307846,0.1126282012866043,6.5119387700073466,28.974908225627967,112.00846429295866,76988
protected,ESSF_mc,0.37695382954585727,16.539824640675608,52.598915192888605,92.51434451936429,0.10261686139767444,5.930316522404653,25.02599263208618,73.43102432428667,2554989
unprotected,ESSF_mc,0.38796183597165146,15.641248092036845,63.567942882773046,100.74829588716487,0.1135834173022711,5.690398433867513,23.00335792750957,69.33062406296447,2552718
protected,ESSF_mcp,0.38133095137604633,14.547084966199623,49.96907358457867,77.21189817430798,0.10201319359494714,5.914827807891976,25.640375506126674,68.14916752273948,251194
unprotected,ESSF_mcp,0.40033557859169794,13.16757100033734,51.102901280294304,71.12964561540369,0.11376377828384311,4.987558295728152,25.97261948285729,57.94330735740792,251196
protected,ESSF_mh,0.3689353400486403,22.35915199569229,74.5744769527082,190.53463854372944,0.12128892878829482,6.279482550293117,24.620253533966313,121.2153453872925,169564
unprotected,ESSF_mh,0.3558371525472888,22.583130888065657,79.14920517289129,202.2719985526349,0.11718767491217758,6.187149383158674,19.64206340559522,113.80637510320929,167181
protected,ESSF_mk,0.3746623774401389,16.4963604340745,72.17178541251268,121.09994181990173,0.10563066685705068,5.882101611693008,20.496024748102048,82.71002697010016,675491
unprotected,ESSF_mk,0.38525826188438966,16.7590811706124,70.05630475561593,120.43408939061557,0.11307541964526631,5.965867107870824,20.99047325634605,79.27935052117336,675663
